archivo,tipo_comprobante,serie_correlativo,fecha_emision,ruc_emisor,razon_social_emisor,ruc_receptor,razon_social_receptor,concepto,moneda,base_imponible,igv,total,afectacion_igv,medio_pago,aplica_detraccion,codigo_spot,tasa_detraccion,monto_detraccion,cuenta_gasto_pcge,notas
FC-001_transportes_carga_sur.pdf,factura,F001-000145,15/09/2026,20487654321,TRANSPORTES CARGA SUR SAC,20512345678,ANDINA SOLUTIONS SAC,Servicio de transporte de carga nacional,PEN,3500.0,630.0,4130.0,gravada,Transferencia bancaria,si,026,0.04,165.2,631,
FC-002_office_supply_peru.pdf,factura,F001-000146,16/09/2026,20498765432,OFFICE SUPPLY PERU SAC,20512345678,ANDINA SOLUTIONS SAC,Compra de suministros de oficina,PEN,850.0,153.0,1003.0,gravada,Transferencia bancaria,no,,,,,
FC-003_servitec_mantenimiento.pdf,factura,F001-000147,17/09/2026,20476543210,SERVITEC MANTENIMIENTO SAC,20512345678,ANDINA SOLUTIONS SAC,Mantenimiento de equipos de computo,PEN,1200.0,216.0,1416.0,gravada,Transferencia bancaria,si,022,0.12,169.92,632,
RHE-001_maria_quispe.pdf,RHE,E001-000078,18/09/2026,10456789012,MARIA ELENA QUISPE TORRES,20512345678,ANDINA SOLUTIONS SAC,Servicio de asesoria contable mensual,PEN,1800.0,0.0,1800.0,no_gravado,Transferencia bancaria,no,,,,,Sin IGV: no derivar Valor_Venta como Total/1.18
BV-001_ferreteria_constructor.pdf,boleta,B001-008821,19/09/2026,20505566778,FERRETERIA EL CONSTRUCTOR EIRL,20512345678,ANDINA SOLUTIONS SAC,Utiles de oficina varios,PEN,180.0,32.4,212.4,gravada,Efectivo,no,,,,,
FC-004_seguridad_integral.pdf,factura,F001-000148,20/09/2026,20465432109,SEGURIDAD INTEGRAL SAC,20512345678,ANDINA SOLUTIONS SAC,Servicio de vigilancia (1 dia),PEN,500.0,90.0,590.0,gravada,Transferencia bancaria,no,021,,,639,"Codigo SPOT 021 esta en la lista, pero el importe (590) no supera el umbral de S/700: NO aplica detraccion."
FC-005_publicidad_digital.pdf,factura,F001-000149,21/09/2026,20443322110,PUBLICIDAD DIGITAL PERU SAC,20512345678,ANDINA SOLUTIONS SAC,Campana de publicidad digital,PEN,5000.0,900.0,5900.0,gravada,Transferencia bancaria,no,,,,,
RHE-002_jorge_ramos.pdf,RHE,E001-000079,22/09/2026,10498765432,JORGE LUIS RAMOS FLORES,20512345678,ANDINA SOLUTIONS SAC,Servicio de asesoria legal societaria,PEN,2500.0,0.0,2500.0,no_gravado,Transferencia bancaria,no,,,,,Sin IGV: no derivar Valor_Venta como Total/1.18
BV-002_grifo_san_isidro.pdf,boleta,B001-008822,23/09/2026,20411223344,GRIFO SAN ISIDRO EIRL,20512345678,ANDINA SOLUTIONS SAC,Combustible (Diesel B5) para unidad de transporte,PEN,320.0,57.6,377.6,gravada,Efectivo,no,,,,,
FC-006_inmobiliaria_centro.pdf,factura,F001-000150,24/09/2026,20422334455,INMOBILIARIA CENTRO SAC,20512345678,ANDINA SOLUTIONS SAC,Alquiler de local comercial (setiembre 2026),PEN,4000.0,720.0,4720.0,gravada,Transferencia bancaria,si,020,0.12,566.4,634,
